RECORD #	qid	LANG	245|abnp	full_location	publisher_text	P123	Dates	subj_text	author_cleaned	P50
b67940973		eng	Hi-Fi color for comics : digital techniques for professional results	Q43196	IMPACT		2008	Adobe Photoshop; Color computer graphics; Comic books, strips, etc. Illustrations	Miller, Brian G. (Brian Glen), 1973-	
										
										
b83251765		eng	Impact university. V. 4 : learn how to create science fiction, fantasy and comic art from top artists	Q43196	F+W Media	Q5423577	2008	Comic books, strips, etc. Technique; Drawing Technique		
										
b107352060		eng	Ghost and the darkness	Q43196	Chad Schoettle		2009	Horror comic books, strips, etc	Chad Schoettle	
b68395899		eng	The insider's guide to creating comics and graphic novels	Q43196	IMPACT		2009	Comic books, strips, etc. Authorship; Comic books, strips, etc. Technique	Andy Schmidt	
										
b88146042		eng	Shojo fashion manga art school : how to draw cool looks and characters	Q43196	IMPACT		2009	Japanese Comic books, strips, etc. Technique; Cartoon characters Japan; Figure drawing Technique; Clothing and dress in art	Irene Flores	
										
										
										
b8815693x		eng	Draw furries : how to create anthropomorphic and fantasy animals	Q43196	IMPACT		2009	Fantasy in art; Anthropomorphism in art; Drawing Technique; Fantasy Comic books, strips, etc. Technique; Funny animal Comic books, strips, etc. Technique	Jared Hodges	
										
										
										
										
b128921808		eng	Comic books 101 : the history, methods and madness	Q43196	IMPACT		2009	Comic books, strips, etc. History and criticism	Chris Ryall	
b93519631		eng	Incredible comic book women with Tom Nguyen	Q43196	IMPACT		2010	Women in art; Comic books, strips, etc. Technique; Cartooning Technique	Tom Nguyen	
										
										
b124955587		eng	Mastering manga with Mark Crilley	Q43196	IMPACT		2012	Comic books, strips, etc Japan Technique; Cartooning Technique; Cartooning Technique; Comic books, strips, etc. Technique; Cartooning Technique; Drawing. sears; Cartoons and cariactures. sears; Japan; Comic books, strips, etc Japan Technique; Manga Technique	Mark Crilley	
										
										
										
										
										
										
										
										
										
b119439797		eng	Jazz comix	Q43196	Bruce Chrislip		2012	New wave Comic books, strips, etc	Bruce Chrislip	
b124955575		eng	Mastering manga 2 : level up with Mark Crilley	Q43196	IMPACT		2013	Comic books, strips, etc Japan Technique; Cartooning Technique; Cartooning Technique; Comic books, strips, etc. Technique; Japan	Mark Crilley	
										
										
										
										
b119397298		eng	Death after a rather nice lunch, but a not-so-great dinner	Q43196	Christina Wald		2013	Detective and mystery comic books, strips, etc; Funny animal Comic books, strips, etc; New wave Comic books, strips, etc	Christina Wald	
										
										
b121012736		eng	Murder on the North Sea	Q43196	Pop Smoothie Inc.		2013	Detective and mystery comic books, strips, etc; Funny animal Comic books, strips, etc; New wave Comic books, strips, etc	Christina Wald	
										
										
b123384977		eng	Designing creatures & characters how to build an artist's portfolio for video games, film, animation, and more	Q43196	IMPACT		2016	Characters and characteristics in art; Figure drawing Technique; Comic books, strips, etc. Technique; Animated films; Computer animation; Drawing Technique; Video game characters; Computer graphics; Computer drawing; Graphic arts Technique; Fantasy in art; Comic strip characters; Cartoon characters; Computer art; Graphic novels Technique; Graphic artists; Art portfolios; Art Reference; Art Subjects & Themes Science Fiction & Fantasy; Art Techniques Drawing; Art portfolios; Graphic artists; Electronic books	Marc Taro Holmes	
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
b124955551		eng	Mastering manga 3 : power up	Q43196	IMPACT		2016	Comic books, strips, etc Japan Technique; Cartooning Technique; Cartooning Technique; Comic books, strips, etc. Technique; Manga Drawing lessons; Japan	Mark Crilley	
										
										
										
										
										
b118358741		eng	Adventures of the Vital-Man	Q43196	Budgie Press		1991-1992	Superheroes		
b120703117		eng	Fantasy theater	Q43196	J. Kevin Carrier		1993-2004	New wave Comic books, strips, etc; Fantasy; Fantasy comic books, strips, etc		
										
										
b48415662		eng	Nemesis	Q43196	Michael Roden	Q56240044		New wave Comic books, strips, etc		
b88122177		eng	Junior life	Q43196	Standard Publishing Foundation			Adventure story Comic books, strips, etc; Children's periodicals, American		
										
b88149407		eng	Drunken Cat presents	Q43196	Drunken Cat Comics			New wave Comic books, strips, etc		
b112580105		eng	Comic art & graffix gallery	Q43196	Richard Halegua.			Comic books, strips, etc. Catalogs		
b21884894		eng	American splendor	Q248922	Harvey Pekar	Q440073	1976	Underground comic books, strips, etc; Autobiographical comic books, strips, etc		
										
b101708257		eng	American splendor	Q248922	Harvey Pekar	Q440073	1976	Comic books, strips, etc		
b23178632		eng	We're living in funny times	Q248922	Susan Wolpert and Raymond Lesser		1989	Caricatures and cartoons Periodicals; Comic books, strips, etc. Periodicals; Editorial cartoons Periodicals; Political cartoons Periodicals		
										
										
										
b51386008		eng	Satron paint	Q248922	Xrento International Press		1992	Alternative Comic books, strips, etc		
b66981475		eng	Bulletproof	Q248922	Known Associates Press		1995	Detective and mystery comic books, strips, etc	Joe Zabel	
b119337927		eng	The green skull : a Known Associates mystery	Q248922	Known Associates Press		1995	Detective and mystery comic books, strips, etc	Joe Zabel	
b126632923		eng	Wolf run : a Known Associates mystery	Q248922	Known Associates Press		1995	Detective and mystery comic books, strips, etc	Joe Zabel	
b49774086		eng	The trespassers	Q248922	Amazing Montage Press		1996	Detective and mystery comic books, strips, etc		
b10161665x		eng	Murder by Crowquill	Q248922	Amazing Montage Press		1999	Detective and mystery comic books, strips, etc		
b100264724		eng	Mary Monster	Q248922	Bad Place Productions			Superheroine Comic books, strips, etc; Horror		
										
b120752207		eng	The Chimera strikes!	Q248922	Bad Place Productions			Superheroes		
b29096054		eng	Deepest pit	Q248922	Alex Petretich		1993	New wave Comic books, strips, etc		
b11611248		eng	Kit Carson	Q37320	World Publishing Company	Q29096210	1933	Carson, Kit, 1809-1868; Historical Comic books, strips, etc; Western comic books, strips, etc; Historical comics	Mansfield, J. Carroll (James Carroll), 1896-	
										
										
										
b34041795		eng	Pioneers of the wild West	Q37320	World Publishing Company	Q29096210	1933	Lewis and Clark Expedition (1804-1806) Comic books, strips, etc; Pioneers West (U.S.) Comic books, strips, etc; Historical Comic books, strips, etc; West (U.S.) History Comic books, strips, etc; Historical comics	Mansfield, J. Carroll (James Carroll), 1896-	
										
										
										
										
b117481385		eng	Daniel Boone	Q37320	World Publishing Company	Q29096210	1934	Boone, Daniel, 1734-1820 Comic books, strips, etc; Steuben, Friedrich Wilhelm Ludolf Gerhard Augustin, Baron von, 1730-1794 Comic books, strips, etc; Historical Comic books, strips, etc; Biographical comic books, strips, etc; Historical comics	Mansfield, J. Carroll (James Carroll), 1896-	
										
										
										
										
b2350352x		eng	Feature funnies	Q37320	Quality Comics	Q1648355	1937	Adventure story Comic books, strips, etc		
b23895342		eng	Feature funnies	Q37320	Quality Comics	Q1648355	1937	Adventure story Comic books, strips, etc		
b43706460		eng	Feature funnies	Q37320	Quality Comics	Q1648355	1937	Adventure story Comic books, strips, etc		
b54011991		eng	Western picture stories	Q37320	Comics Magazine Company	Q2985201	1937	Western comic books, strips, etc		
b3838601x		eng	Picture story of the telephone	Q37320	Ohio Bell Telephone Company		1941	Telephone History Comic books, strips, etc; Telephone Ohio; Educational Comic books, strips, etc; Educational comics		
										
										
										
b22280066		eng	Comic art	Q37320	Don Thompson		1961	Comic books, strips, etc. History and criticism Periodicals; Fan magazines		
										
b30452788		eng	A Charlie Brown Christmas	Q37320	World Publishing Company	Q29096210	1965	Christmas stories; Funny kid Comic books, strips, etc	Charles M. Schulz	Q298920
										
b18760351		eng	Three centuries of children's books in Europe	Q37320	World Publishing Company	Q29096210	1967	Children's literature, European History and criticism; European Comic books, strips, etc. History and criticism	Bettina Hürlimann	
										
b30326825		eng	What the heck is a friend	Q37320	American Greetings	Q464767	1967	Friendship; Prehistoric humor Comic books, strips, etc	Johnny Hart	Q1382889
										
b105884327		eng	Your day in history	Q37320	American Greetings Corp.		1968	Historical Comic books, strips, etc; Historical comics	Jack Clements	
										
b12758747		eng	Cliff Merritt sets the record straight	Q37320	United Transportation Union	Q7893615	1969	United Transportation Union Comic books, strips, etc; Transportation; Railroads	Cliff Merritt	
										
										
b51393475		eng	The wild Itralian	Q37320	Tony Isabella	Q730138	1970	Comic books, strips, etc. History and criticism Periodicals; Fan magazines		
										
b12758796		eng	[R. Crumb greeting cards]	Q37320	American Greetings	Q464767	1972	Underground Comic books, strips, etc. Miscellanea	Robert Crumb	Q435278
b2167209x		eng	Melotoons	Q37320	Peter Kuper		1972	Underground comic books, strips, etc		
b29978312		eng	Tony Isabella presents	Q37320	Tony Isabella		1972	Comic books, strips, etc. History and criticism Periodicals		
b20686560		eng	Ziggy's lucky/unlucky book	Q37320	American Greetings	Q464767	1973	Chance	Tom Wilson	Q7818081
b32614615		eng	Bugs Bunny : [daily strips, May 7, 1973 to Aug. 4, 1973, and Aug. 13, 1973 to July 6, 1974	Q37320	Newspaper Enterprise Association	Q58432485	1973	Funny animal Comic books, strips, etc	Ralph Heimdahl	Q64138597
b32642088		eng	The born loser : [daily strips, May 7, 1973 to Aug. 4, 1973, and Aug. 13, 1973 to July 6, 1974	Q37320	Newspaper Enterprise Association	Q58432485	1973	Losers	Art Sansom	Q4797048
b39176551		eng	"Man on the move"" : Cliff Merritt's scrapbook."""	Q37320	United Transportation Union	Q7893615	1976	Transportation History Comic books, strips, etc; Historical Comic books, strips, etc; Historical comics	Cliff Merritt	
										
										
b11362522		eng	Anno's journey	Q37320	HarperCollins	Q95149	1977	Europe in art; Stories without words; Japanese	Mitsumasa Anno	
										
										
b3046495x		eng	Cliff Merritt's scrapbook : people on the move	Q37320	United Transportation Union	Q7893615	1980	Transportation History; Transportation History Comic books, strips, etc	Cliff Merritt	
										
b17110762		eng	Superman at fifty : the persistence of a legend	Q37320	Octavia Press		1987	Superman (Comic strip); Superhero Comic books, strips, etc. History and criticism		
										
b17801898		eng	The International Superman exposition, Cleveland Convention Center, Cleveland, Ohio, June 16-19, 1988	Q37320	Neverending Battle Inc		1987	Superman (Comic strip) Exhibitions; Comic books, strips, etc. Exhibitions	International Superman Exposiiton (1988 : Cleveland, Ohio)	
										
b28320773		eng	Quoth the raven : a graphic novel	Q37320	Society's Outcasts		1990	Superheroes	David Henderson	
b52375456		eng	Smiley's comic compileation. #1	Q37320	Dimestore Productions		1997	New wave Comic books, strips, etc		
b42047912		eng	Look out! Here come the Fat Guys	Q37320	Fat Guy Productions		1999	New wave Comic books, strips, etc	Randy Crider	
b42143317		eng	Oh no! It's the Fat Guys	Q37320	Fat Guy Productions		2000	New wave Comic books, strips, etc	Randy Crider	
b51812307		eng	Crosston	Q37320	J. Kelly		2002	Alternative Comic books, strips, etc		
b121824147		eng	Feudin' with the Fat Guys	Q37320	Fat Guys Productions		2002	New wave Comic books, strips, etc	Randy Crider	
b51357707		eng	The ultimate Fantastic Four : a sixteen-month 2006 calendar	Q37320	American Greetings	Q464767	2005	Superhero Comic books, strips, etc. Miscellanea; Calendars		
										
b12562394x		eng	The pajama diaries : déjà to-do	Q37320	TJ Studios LTD		2011	Motherhood Humor Comic books, strips, etc; Jewish families Humor Comic books, strips, etc; Work-life balance Humor Comic books, strips, etc; Comics (Graphic works) lcgft	Terri Libenson	
										
										
										
b119597238		eng	BB BluesBird	Q37320	Gary Dumm & Ron Hill		2012	Funny animal Comic books, strips, etc; Blues (Music)	Gary Dumm	
										
b106388046		eng	Puppyteeth	Q37320	Czap Books		2012	Alternative Comic books, strips, etc		
b117268537		eng	Diamond Island : based on a story my grandfather told	Q37320	Ethics Comics		2015	Treasure troves; Adventure story Comic books, strips, etc	Max B Winters	
										
b24953507		eng	The men who move the nation	Q37320	United Transportation Union	Q7893615	1960-1969	Transportation; Transportation United States Comic books, strips, etc	Cliff Merritt	
										
b29156919		eng	People who move the nation	Q37320	United Transportation Union	Q7893615	1980-1989	Transportation; Transportation United States Comic books, strips, etc	Cliff Merritt	
										
b21727077		eng	G.A.S. lite	Q37320				Comic books, strips, etc. History and criticism Periodicals		
b36248174		eng	The wandering fan	Q37320	Tony Isabella	Q730138		Comic books, strips, etc. Miscellanea Periodicals		
b72151985		eng	Cleveland's epic saga of lowlife	Q37320	Society's Outcasts Comix			New wave Comic books, strips, etc		
b122342367		eng	Uber comix	Q37320	uBer Comix			New wave Comic books, strips, etc		
b17245692		eng	It's the difference that counts : performance or promise	Q16567	State Publishing Company		1951	Capitalism; Communism; United States Economic conditions Comic books, strips, etc; United States Social conditions Comic books, strips, etc		
										
										
										
b39339154		eng	Lawn and garden guide	Q16567	Smith Agricultural Chemical Company		1955	Lawns; Fertilizers; Flower gardening; Vegetable gardening; Educational Comic books, strips, etc; Educational comics		
										
										
										
										
										
b40573564		eng	Socialists' plans for control of the USA : cartoon style	Q16567	State Publishing Company		1961	Socialism; Political Comic books, strips, etc; Political comics		
										
										
b107395915		eng	Superkernel comics	Q16567	SuperKernel Comics	Q111589514	1977	Superheroes; Funny vegetable Comic books, strips, etc; Popcorn		
										
										
b4963866x		eng	Superkernel comics	Q16567	SuperKernel Comics	Q111589514	1980	Superheroes; Funny vegetable Comic books, strips, etc; Popcorn	Guy Gilchrist	Q5622274
										
										
b107395940		eng	Superkernel comics	Q16567	SuperKernel Comics	Q111589514	1980	Superheroes; Funny vegetable Comic books, strips, etc; Popcorn	Guy Gilchrist	Q5622274
										
										
b10168454x		eng	Marijuana, time for a closer look	Q16567	Healthstar Publications		1980	Marijuana; Marijuana	Curtis L Janeczek	
										
b107395939		eng	Superkernel comics	Q16567	SuperKernel Comics	Q111589514	1980	Superheroes; Funny vegetable Comic books, strips, etc; Popcorn	Guy Gilchrist	Q5622274
										
										
b107395952		eng	Superkernel comics	Q16567	SuperKernel Comics	Q111589514	1981	Superheroes; Funny vegetable Comic books, strips, etc; Popcorn	Guy Gilchrist	Q5622274
										
										
b10647235		eng	The very brief golden age of 3-D comic books : from Amazing 3-D	Q16567	National Stereoscopic Association	Q58400219	1982	Comic books, strips, etc. United States History and criticism; Three dimensional Comic books, strips, etc. History and criticism	Hal Morgan	
										
b12902469		eng	The American comic book : an exhibition at the Ohio State University, May 19 - August 2, 1985	Q16567	Ohio State University Libraries	Q65070444	1985	Comic books, strips, etc. Exhibitions; Comic books, strips, etc. United States History and criticism		
										
b16906822		eng	The Festival of Cartoon Art	Q16567	The Ohio State University Libraries	Q65070444	1986	Caricatures and cartoons United States Exhibitions; Comic books, strips, etc. Exhibitions; Editorial cartoons United States Exhibitions	Festival of Cartoon Art (2nd : 1986 : Columbus, Ohio)	
										
										
b25614824		eng	The evolution of social norms and the life of Lois Lane : a rhetorical analysis of popular culture	Q16567			1986	Lane, Lois (Fictitious character); Superman (Comic strip); Women in popular culture; Superhero Comic books, strips, etc. History and criticism; Popular culture United States; Women in Comic books, strips, etc	Jeanne Pauline Williams	
										
										
										
										
										
b41983968		eng	Hoot	Q16567	Irv Oslin		1987	Alternative Comic books, strips, etc		
b18803076		eng	Walt Kelly : a retrospective exhibition to celebrate the seventy-fifth anniversary of his birth : Philip Sills Exhibit Hall, The Ohio State University Libraries, Columbus, Ohio, August 1 - September 9, 1988	Q16567	The Ohio State University Libraries	Q65070444	1988	Kelly, Walt Exhibitions; Pogo (Comic strip) Exhibitions; Comic books, strips, etc. Exhibitions		
										
										
b40770692		eng	Asthmaattack	Q16567	Michael A. Carroll		1988	Asthma; Educational Comic books, strips, etc; New wave Comic books, strips, etc; Educational comics	Michael A Carroll	
										
										
										
b72120563		eng	1989 Festival of cartoon art	Q16567	Ohio State University Libraries	Q65070444	1989	Caricatures and cartoons United States Exhibitions; Comic books, strips, etc. United States Exhibitions		
										
b40146157		eng	Only two (seems like more)	Q16567	Laughing Academy Press		1990	Cats Humor; Cats Caricatures and cartoons; Cats	Susan Sturgill	
										
										
b51374316		eng	Eternaloons : the Palnik anthology	Q16567	Creative Light Press		1991	Alternative Comic books, strips, etc	Paul Palnik	
b30597547		eng	Weekly Reader Children's Book Club Presents Dinosaurs to the rescue! : a guide to protecting our planet	Q16567	Newfield Publications		1992	Environmental protection Citizen participation Juvenile literature; Environmental protection	Laurene Krasny Brown	
										
b40154440		eng	The unwrapped X-mass	Q16567	Michael A. Carroll		1992	Christmas; Superheroes	Michael A Carroll	
										
b25175531		eng	Cartoons and ethnicity	Q16567	The Ohio State University Libraries	Q65070444	1992	Festival of Cartoon Art (4th : 1992 : Columbus, Ohio); Caricatures and cartoons United States Congresses; Caricatures and cartoons Social aspects; Ethnic wit and humor United States; Comic books, strips, etc. United States Congresses		
										
										
										
										
b106402481		eng	Robostick : unstuck	Q16567	Michael A. Carroll		1993	New wave Comic books, strips, etc		
b25179482		eng	Sin titulo	Q16567	Horse Press		1993	Adventure story Comic books, strips, etc	Paul Pope	
b56578994		eng	America's favorite funnies 1994 calendar	Q16567	White Castle System		1993	White Castle (Restaurant) Comic books, strips, etc; Calendars; Comic books, strips, etc. Calendars		
										
										
b25738410		eng	The ballad of Doctor Richardson	Q16567	Horse Press		1994	Adventure story Comic books, strips, etc	Paul Pope	
b28093847		eng	Inks : cartoon and comic art studies	Q16567	Ohio State University Press	Q7080970	1994	Comic books, strips, etc. History and criticism Periodicals; Political cartoons History Periodicals; Caricatures and cartoons History Periodicals		
										
										
b49811678		eng	THB	Q16567	Horse Press		1994	Teenage girls; Robots; Bodyguards; Science fiction; Mars (Planet)		
										
										
										
										
b119371650		eng	THB promo	Q16567	Horse		1994	Science fiction comic books, strips, etc	Paul Pope	
b29116570		eng	Before the Yellow Kid : precursors of the American newspaper comic strip : January 9 - April 21, 1995	Q16567	The Ohio State University Cartoon, Graphic, and Photographic Research Library		1995	Comic books, strips, etc. Exhibitions; Newspapers Sections, columns, etc. Comics History		
										
b29706178		eng	See you in the funny papers : American life as reflected in the newspaper comic strip	Q16567	Ohio State University	Q309331	1995	Newspapers Sections, columns, etc. History; Newspapers Sections, columns, etc. Exhibitions; Comic books, strips, etc. United States History and criticism; Comic books, strips, etc. History and criticism	Lucy Shelton Caswell	
										
										
										
b29712683		eng	Anything can happen in a comic strip : centennial reflections on an American art form	Q16567	Ohio State University Libraries	Q65070444	1995	Comic books, strips, etc. United States History and criticism		
b118361909		eng	Lyceum	Q16567	Hunter Productions		1996	Fantasy; Fantasy comic books, strips, etc		
										
b33129575		eng	Giant THB parade	Q16567	Horse Press		1996	Alternative Comic books, strips, etc		
b38788068		eng	Crash comics	Q16567	Thomas Williams		1996	Superheroes; Alternative Comic books, strips, etc		
										
b4922556x		eng	One millennium	Q16567	Hunter Productions		1996	Science fiction comic books, strips, etc		
b90959097		eng	THB circus	Q16567	Horse Press		1997	Circus; Alternative Comic books, strips, etc	Paul Pope	
										
b39877097		eng	Humor in a jugular vein : an expanded exhibition of the art, artists, and artifacts of Mad magazine from the collection of Mark J. Cohen and Rose Marie McDaniel	Q16567	Ohio State University Libraries	Q65070444	1998	Cohen, Mark J. Art collections Exhibitions; McDaniel, Rose Marie Art collections Exhibitions; Mad Exhibitions; Comic books, strips, etc. United States History 20th century Exhibitions; Comic books, strips, etc. Private collections United States Exhibitions		
										
										
										
										
b39908288		eng	The Bob Foundation memory bank	Q16567	SRD Studios		1998	New wave Comic books, strips, etc		
b72025153		eng	Isabel/Nobody ashcan	Q16567	World Famous Comics		1998	Superheroes; Superheroine Comic books, strips, etc		
										
b100453235		eng	Clan Apis	Q16567	Active Synapse		1998	Bees Comic books, strips, etc.  http://id.loc.gov/authorities/names/n50009867; Funny animal Comic books, strips, etc	Jay Hosler	
										
b119390061		eng	Bunny blues/Leaves	Q16567	Back Porch Comics		1999	Funny animal Comic books, strips, etc; Alternative Comic books, strips, etc		
										
b35577800		eng	Jewish cartoonists and the American experience	Q16567	Ohio State University Libraries	Q65070444	1999	Jewish Comic books, strips, etc. Exhibitions; Comic books, strips, etc. Exhibitions; Jewish wit and humor, Pictorial Exhibitions		
										
										
b40151670		eng	The Jimmy Ryan adventures	Q16567	SRD Studios		1999	Adventure story Comic books, strips, etc		
b49587596		eng	Stupid, stupid rat tails	Q16567	Cartoon Books		1999	Fantasy; Fantasy comic books, strips, etc		
										
b49915447		eng	Old man's cave	Q16567	Cartoon Books		1999	Fantasy; Fantasy comic books, strips, etc	Jeff Smith	
										
b52350174		eng	The Accidentals : shades of evil	Q16567	Michael A. Carroll		1999	New wave Comic books, strips, etc; Funny horror Comic books, strips, etc	Michael A Carroll	
										
b40154385		eng	Sequential	Q16567	I Don't Get It Graphics		1999	New wave Comic books, strips, etc		
b122345174		eng	Zip 10th anniversary collection	Q16567	Michael Carroll and Michael Doak		1999	New wave Comic books, strips, etc	Michael A Carroll	
b120875196		eng	Robostick : the pain that hurt	Q16567	Michael A. Carroll		1999	New wave Comic books, strips, etc	Michael A Carroll	
b38682709		eng	The Adventures of Dr. Bob & Irving	Q16567	SRD Studios		2000	Adventure story Comic books, strips, etc		
b3880881x		eng	Clan Apis	Q16567	Active Synapse		2000	Funny animal Comic books, strips, etc; Bees	Jay Hosler	
										
b39350630		eng	Rose	Q16567	Cartoon Books		2000	Fantasy; Women warriors Comic books, strips, etc; Fantasy comic books, strips, etc	Jeff Smith	
										
										
b41825871		eng	Peanuts : September 18, 2000-January 19, 2001	Q16567	Ohio State University	Q309331	2000	Schulz, Charles M. (Charles Monroe), 1922-2000 Exhibitions; Comic books, strips, etc. Exhibitions		
										
b51465723		eng	Break-Up! Records	Q16567	Break Up! Records		2000	Rock music; Advertising; Religious Comic books, strips, etc		
										
										
b112680938		eng	The lucky road	Q16567	Cartoon Books		2000	Fantasy; Fantasy comic books, strips, etc	Linda Medley	
										
b36942637		eng	Castle waiting	Q16567	Cartoon Books		2000	Fantasy; Fantasy comic books, strips, etc		
										
b40154257		eng	Reverend Riches tabernacle of terror	Q16567	Scrawling Eye Comics		2000	Horror; New wave Comic books, strips, etc		
										
b122350601		eng	The Accidentals : coverless!	Q16567	Michael A. Carroll		2000	New wave Comic books, strips, etc	Michael A Carroll	
b122350613		eng	The Accidentals : Irrevelations	Q16567	Michael A. Carroll		2000	New wave Comic books, strips, etc	Michael A Carroll	
b38848016		eng	Stand on a mountain, look back	Q16567	I Don't Get It Graphics		2001	Alternative Comic books, strips, etc	Paul Hornschemeier	
b39581767		eng	The ineffables	Q16567	Rick's Café Publishing		2001	Science fiction comic books, strips, etc		
b39888186		eng	Touched : the story of Alyssa Mcpheron	Q16567	AVComics		2001	Superheroes	Eric Owens	
b49038230		eng	Tweety's kitten : paint with water book	Q16567	Landoll		2001	Coloring books; Funny animal Comic books, strips, etc		
										
b51330477		eng	The sandwalk adventures	Q16567	Active Synapse		2001	Darwin, Charles, 1809-1882 Comic books, strips, etc; Alternative Comic books, strips, etc; Funny animal Comic books, strips, etc	Jay Hosler	
										
										
b97400038		eng	Satanic paper boy	Q16567	Tom Williams		2001	Funny horror Comic books, strips, etc; New wave Comic books, strips, etc	Thomas Williams	
										
b40150057		eng	Bolt : Devil's sermon	Q16567	Onward Studio		2001	Horror comic books, strips, etc		
b88036315		eng	Michael Neno's Reactionary tales	Q16567	Neno Productions		2001	Alternative Comic books, strips, etc		
b106402055		eng	Ray-TV	Q16567	SRD Studios		2001	New wave Comic books, strips, etc	Ray Tomczak	
b10640216x		eng	Timmy's guide to life	Q16567	Ray Tomczak		2001	New wave Comic books, strips, etc	Ray Tomczak	
b10741532x		eng	Syndicate : official propaganda of the SPS	Q16567	Small Press Syndicate		2001	New wave Comic books, strips, etc		
b122350650		eng	Cinemall presents	Q16567	Michael A. Carroll		2002	New wave Comic books, strips, etc		
b11944382x		eng	Rose	Q16567	Cartoon Books		2002	Fantasy; Fantasy comic books, strips, etc	Jeff Smith	
										
b107403067		eng	Treasure hunters	Q16567	Cartoon Books		2002	Fantasy; Fantasy comic books, strips, etc	Jeff Smith	
										
b117276698		eng	The Accidentals : 'ele-mental'	Q16567	Michael A. Carroll		2002	New wave Comic books, strips, etc	Michael A Carroll	
b40604421		eng	Hoo-boy! : Morrie Brickman's The small society	Q16567	Ohio State University Libraries	Q65070444	2003	Brickman, Morrie, 1917-1994 Exhibitions; Comic books, strips, etc. Exhibitions	Morrie Brickman	
										
b4638523x		eng	Panel : architecture	Q16567	Ferret Press		2003	Alternative Comic books, strips, etc		
b46385393		eng	Panel : [a comix anthology]	Q16567	publisher not identified		2003	Alternative Comic books, strips, etc		
b51349012		eng	Misa	Q16567	Thomas Williams		2003	Autobiographical comic books, strips, etc	Thomas Williams	
b51472144		eng	Sandwalk adventures	Q16567	Active Synapse		2003	Alternative Comic books, strips, etc; God; Evolution	Jay Hosler	
										
										
b119588304		eng	S.P.A.C.E. 03 : a chat with Dave Sim	Q16567	SPACE		2003	Alternative Comic books, strips, etc. Congresses		
b99614418		eng	BigCityBlues special preview	Q16567	Ferret Press		2003	Alternative Comic books, strips, etc		
b106402158		eng	Wasted potential : blue	Q16567	Ray Tomczak		2003	New wave Comic books, strips, etc	Ray Tomczak	
b46385265		eng	Panel : space	Q16567	Ferret Press		2004	Alternative Comic books, strips, etc		
b98775376		eng	The little peasant rants against the ruling class : editorial cartoons	Q16567	Jeff Smith		2004	Political Comic books, strips, etc; Political comics	Jeff Smith	
										
b12049159x		eng	SPACE 2004	Q16567	SPACE		2004	Alternative Comic books, strips, etc. Congresses		
b120492210		eng	Wasted potential : gold	Q16567	Ray Tomczak		2004	New wave Comic books, strips, etc	Ray Tomczak	
b120958090		eng	Theatre summit #3, Spring 2004	Q16567	Columbus Theatre League		2004	Alternative Comic books, strips, etc	Max Ink	
b119568846		eng	S.P.A.C.E : 2005 official program	Q16567	SPACE		2005	Alternative Comic books, strips, etc. Congresses		
b119398394		eng	Noe	Q16567	Back Porch Comics		2005	Stories without words; New wave Comic books, strips, etc	Bob Corby	
										
b98949962		eng	Blink : space to breathe	Q16567	Onward Studio		2006	New wave Comic books, strips, etc	Max Ink	
b119370621		eng	Adjustable	Q16567	Back Porch Comics		2006	New wave Comic books, strips, etc	Bob Corby	
b127694766		eng	S.P.B. rise	Q16567	Crash Comics		2006	New wave Comic books, strips, etc	Tom Williams	
b106505452		eng	Panel : luck	Q16567	Ferret Press		2006	Alternative Comic books, strips, etc		
b56810441		eng	Bleeding heart liberal comix	Q16567	Aliastrations Omnimedia		2007	Alternative Comic books, strips, etc	Matt Wyatt	
b91188842		eng	Big ears & flat feet : a Bunny blues collection 1988 to 1995	Q16567	Back Porch Comics		2007	Funny animal Comic books, strips, etc; Alternative Comic books, strips, etc	Bob Corby	
										
b119397833		eng	Stars	Q16567	Back Porch Comics		2007	New wave Comic books, strips, etc	Bob Corby	
b69625153		eng	Rasl	Q16567	Cartoon Books		2008	Fantasy; Fantasy comic books, strips, etc		
										
b83933396		eng	Blink : FYI, IDK	Q16567	Onward Studio		2008	New wave Comic books, strips, etc	Max Ink	
b119575541		eng	SPACE 08	Q16567	SPACE		2008	Alternative Comic books, strips, etc. Congresses		
b10650552x		eng	Panel : 12 and under : a little Panel book	Q16567	Ferret Press		2008	Alternative Comic books, strips, etc		
b75754514		eng	Wasted potential	Q16567	Ray Tomczak		2009	New wave Comic books, strips, etc	Ray Tomczak	
b75754538		eng	Wasted potential	Q16567	Ray Tomczak		2009	New wave Comic books, strips, etc	Ray Tomczak	
b88124897		eng	This is a comic book : August 1-22, 2009, Mahan Gallery	Q16567	Mahan Gallery		2009	Alternative Comic books, strips, etc. Exhibitions		
b122011028		eng	The 10th annual S.P.A.C.E. : 2009	Q16567	SPACE		2009	Alternative Comic books, strips, etc. Congresses		
b118066985		eng	342 : a 24 hour comic	Q16567	Back Porch Comics		2009	New wave Comic books, strips, etc	Bob Corby	
b83933335		eng	Blink : let it be as it is	Q16567	Onward Studio		2010	New wave Comic books, strips, etc	Max Ink	
b120491588		eng	The 11th annual S.P.A.C.E	Q16567	SPACE		2010	Alternative Comic books, strips, etc. Congresses		
b119592873		eng	The Signifiers	Q16567	M.R. Neno Productions		2010	Science fiction comic books, strips, etc		
